Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Desc,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,State,Kentucky,Totals,Overall,"17,614","10,187","1,436,162","29,602,045",4.85%,-0.66%,-0.15%,"78,726",5.48%,-3.01%,-0.49%
2021,State,Louisiana,Totals,Overall,"19,070","12,626","1,262,756","26,538,860",4.76%,-1.06%,-0.16%,"80,986",6.41%,-2.27%,-0.64%
2021,State,Maine,Totals,Overall,"6,640","4,164","282,486","7,077,806",3.99%,-1.59%,-0.21%,"42,509",15.05%,-3.83%,-0.81%
2021,State,Maryland,Totals,Overall,"25,128","15,150","870,614","19,603,239",4.44%,-1.39%,-0.08%,"126,411",14.52%,-3.23%,-0.91%
2021,State,Massachusetts,Totals,Overall,"37,548","21,903","1,082,759","34,242,597",3.16%,-0.76%,-0.06%,"144,301",13.33%,-2.28%,-0.64%
2021,State,Michigan,Totals,Overall,"44,228","29,974","2,431,291","50,809,715",4.79%,-1.96%,-0.09%,"232,675",9.57%,-2.99%,-0.70%
2021,State,Minnesota,Totals,Overall,"23,816","15,558","819,435","23,742,192",3.45%,-1.38%,-0.09%,"88,980",10.86%,-3.70%,-0.77%
2021,State,Mississippi,Totals,Overall,"10,070","7,013","760,464","16,973,699",4.48%,-1.51%,0.02%,"46,878",6.16%,-2.45%,-0.37%
2021,State,Missouri,Totals,Overall,"23,560","13,863","1,620,838","35,592,458",4.55%,-1.01%,-0.12%,"136,831",8.44%,-3.88%,-0.81%
2021,State,Montana,Totals,Overall,"4,592","3,124","230,556","4,565,759",5.05%,-1.31%,-0.14%,"28,008",12.15%,-4.66%,-0.60%
2021,State,Nebraska,Totals,Overall,"7,816","5,241","371,945","9,713,516",3.83%,-0.89%,-0.04%,"46,494",12.50%,-1.79%,-0.52%
2021,State,Nevada,Totals,Overall,"9,329","5,711","557,886","10,076,394",5.54%,-1.96%,-0.24%,"61,271",10.98%,-3.52%,-0.70%
2021,State,"New Hampshire",Totals,Overall,"6,667","4,085","222,747","6,085,118",3.66%,-1.47%,-0.18%,"37,981",17.05%,-3.69%,-0.80%
2021,State,"New Jersey",Totals,Overall,"33,869","19,325","1,082,606","36,554,721",2.96%,-1.11%,-0.13%,"136,799",12.64%,-3.93%,-1.08%
2021,State,"New Mexico",Totals,Overall,"7,978","4,871","331,920","7,418,402",4.47%,-1.78%,-0.16%,"27,157",8.18%,-4.02%,-0.57%
2021,State,"New York",Totals,Overall,"98,815","49,400","2,312,127","97,458,650",2.37%,-0.64%,-0.06%,"268,897",11.63%,-2.94%,-0.71%
2021,State,"North Carolina",Totals,Overall,"40,322","27,237","2,569,416","53,007,722",4.85%,-1.13%,-0.14%,"296,346",11.53%,-1.96%,-0.32%
2021,State,"North Dakota",Totals,Overall,"3,201","2,145","121,941","3,837,649",3.18%,-1.05%,-0.01%,"13,284",10.89%,-6.34%,-0.74%
2021,State,Ohio,Totals,Overall,"49,789","32,111","2,300,485","63,237,011",3.64%,-1.44%,-0.11%,"187,288",8.14%,-2.37%,-0.57%
2021,State,Oklahoma,Totals,Overall,"13,069","8,217","989,198","18,073,763",5.47%,-1.87%,-0.19%,"105,377",10.65%,-3.56%,-0.58%
2021,State,Oregon,Totals,Overall,"18,362","12,191","920,443","17,414,512",5.29%,-1.68%,-0.13%,"99,910",10.85%,-5.48%,-0.90%
2021,State,Pennsylvania,Totals,Overall,"61,397","35,190","2,490,904","73,910,999",3.37%,-1.36%,-0.13%,"310,984",12.48%,-3.22%,-0.79%
2021,State,"Rhode Island",Totals,Overall,"5,370","3,232","162,880","5,693,495",2.86%,-0.69%,0.01%,"16,883",10.37%,-1.55%,0.30%
2021,State,"South Carolina",Totals,Overall,"19,450","12,549","1,197,355","25,861,142",4.63%,-1.32%,-0.09%,"104,630",8.74%,-1.47%,-0.47%
2021,State,"South Dakota",Totals,Overall,"3,722","2,514","162,212","4,302,297",3.77%,-1.32%,-0.10%,"21,037",12.97%,-4.01%,-0.79%
2021,State,Tennessee,Totals,Overall,"26,863","17,770","2,033,851","39,804,431",5.11%,-1.89%,-0.24%,"175,987",8.65%,-4.50%,-0.49%
2021,State,Texas,Totals,Overall,"84,530","51,986","4,152,139","98,326,468",4.22%,-1.29%,-0.27%,"307,071",7.40%,-1.57%,-0.28%
2021,State,Utah,Totals,Overall,"10,080","7,119","510,922","8,559,592",5.97%,-1.56%,-0.23%,"65,293",12.78%,-2.11%,-0.52%
2021,State,Vermont,Totals,Overall,"2,777","1,671","102,784","2,747,645",3.74%,-1.71%,-0.08%,"17,980",17.49%,-4.78%,-1.08%
2021,State,Virginia,Totals,Overall,"29,498","18,944","1,206,107","31,157,875",3.87%,-1.50%,-0.17%,"123,203",10.21%,-1.46%,-0.72%
2021,State,Washington,Totals,Overall,"30,629","19,374","1,279,065","25,692,226",4.98%,-1.74%,-0.15%,"157,745",12.33%,-3.92%,-0.76%
2021,State,"West Virginia",Totals,Overall,"7,936","4,698","434,447","11,398,791",3.81%,-1.49%,-0.13%,"31,391",7.23%,-1.43%,0.12%
2021,State,Wisconsin,Totals,Overall,"24,011","15,814","1,076,042","27,587,869",3.90%,-1.69%,-0.15%,"121,108",11.25%,-5.72%,-1.03%
2021,State,Wyoming,Totals,Overall,"2,079","1,350","86,800","1,836,307",4.73%,-1.22%,-0.12%,"10,338",11.91%,-3.03%,-1.27%
2021,State,"American Samoa",Totals,Overall,2,0,0,109,0.00%,-7.69%,0.00%,0,,,
2021,State,Guam,Totals,Overall,162,90,"1,922","130,423",1.47%,-0.72%,-0.48%,157,8.17%,0.06%,0.97%
2021,State,"Northern Mariana Islands",Totals,Overall,33,13,151,"10,073",1.50%,-1.08%,-0.06%,,,,
2021,State,"Puerto Rico",Totals,Overall,"11,065","5,611","236,681","28,849,182",0.82%,-0.71%,-0.02%,"5,251",2.22%,0.08%,-0.09%
2021,State,"Virgin Islands",Totals,Overall,180,108,"3,347","216,330",1.55%,-0.05%,0.27%,319,9.53%,2.11%,-0.02%
2021,State,Alabama,Rural/Urban,Rural,"2,331","1,405","362,718","6,678,157",5.43%,-1.71%,-0.13%,"18,521.5",5.11%,-3.14%,-0.04%
2021,State,Alaska,Rural/Urban,Rural,980,659,"35,620","618,162",5.76%,-1.98%,0.39%,"7,674",21.54%,-1.89%,1.86%
2021,State,Arizona,Rural/Urban,Rural,"1,894","1,189","127,400","2,388,041",5.33%,-2.43%,-0.24%,"15,791",12.39%,-5.62%,-0.49%
2021,State,Arkansas,Rural/Urban,Rural,"2,684","2,094","308,981","6,665,680",4.64%,-0.99%,-0.18%,"16,330.5",5.29%,-2.16%,-0.32%
2021,State,California,Rural/Urban,Rural,"4,514","2,983","325,930","5,908,115",5.52%,-2.07%,-0.24%,"38,638.5",11.85%,-3.37%,-1.29%
2021,State,Colorado,Rural/Urban,Rural,"2,417","1,827","113,971","2,295,359",4.97%,-1.69%,-0.05%,"14,443",12.67%,-3.97%,-0.29%
2021,State,Connecticut,Rural/Urban,Rural,417,236,"15,774","511,351",3.08%,-1.26%,-0.26%,"1,718",10.89%,-4.89%,-0.76%
2021,State,Delaware,Rural/Urban,Rural,603,398,"48,849","1,082,189",4.51%,-1.22%,-0.43%,"8,365.5",17.13%,-3.33%,-0.09%
2021,State,"District of Columbia",Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,Florida,Rural/Urban,Rural,"1,251",751,"101,601","2,310,829",4.40%,-0.98%,-0.32%,"7,664.5",7.54%,-2.09%,-0.71%
2021,State,Georgia,Rural/Urban,Rural,"3,984","2,758","483,886","10,569,568",4.58%,-0.71%,-0.15%,"36,081.5",7.46%,-0.88%,-0.45%
2021,State,Hawaii,Rural/Urban,Rural,833,539,"41,819","935,423",4.47%,-0.89%,-0.40%,"5,112",12.22%,-5.40%,-1.45%
2021,State,Idaho,Rural/Urban,Rural,"1,524","1,084","101,308","1,955,350",5.18%,-1.66%,-0.12%,"13,189",13.02%,-5.32%,-0.25%
2021,State,Illinois,Rural/Urban,Rural,"3,860","2,799","317,991","8,156,289",3.90%,-0.90%,-0.11%,"24,216.5",7.62%,-4.06%,-0.80%
2021,State,Indiana,Rural/Urban,Rural,"3,777","2,563","314,691","7,454,780",4.22%,-1.44%,-0.16%,"22,994",7.31%,-4.22%,-0.50%
2021,State,Iowa,Rural/Urban,Rural,"3,725","2,291","229,245","6,816,209",3.36%,-0.93%,-0.09%,"27,556.5",12.02%,-3.90%,-0.91%
2021,State,Kansas,Rural/Urban,Rural,"2,964","2,205","253,042","5,528,366",4.58%,-0.94%,-0.24%,"31,808.5",12.57%,-3.79%,-0.85%
2021,State,Kentucky,Rural/Urban,Rural,"6,033","3,640","650,569","14,670,676",4.43%,-0.72%,-0.11%,"28,616.5",4.40%,-1.94%,-0.35%
2021,State,Louisiana,Rural/Urban,Rural,"1,635","1,160","145,388","4,107,720",3.54%,-0.95%,-0.15%,"7,538",5.18%,-0.49%,-0.06%
2021,State,Maine,Rural/Urban,Rural,"2,482","1,607","150,129","3,393,205",4.42%,-1.29%,-0.21%,"28,088",18.71%,-1.75%,-0.75%
2021,State,Maryland,Rural/Urban,Rural,663,448,"41,806","1,029,470",4.06%,-0.92%,-0.35%,"5,182.5",12.40%,-2.90%,-3.55%
2021,State,Massachusetts,Rural/Urban,Rural,557,348,"24,612","754,704",3.26%,-0.75%,-0.11%,"4,133.5",16.79%,-0.92%,-0.43%
2021,State,Michigan,Rural/Urban,Rural,"5,329","3,684","408,059","8,945,806",4.56%,-2.07%,0.03%,"50,399",12.35%,-3.31%,-0.56%
2021,State,Minnesota,Rural/Urban,Rural,"4,057","2,929","215,799","6,953,526",3.10%,-1.37%,-0.10%,"23,361",10.83%,-5.05%,-1.20%
2021,State,Mississippi,Rural/Urban,Rural,"4,392","3,177","407,164","9,293,559",4.38%,-1.43%,0.07%,"23,794.5",5.84%,-2.05%,-0.45%
2021,State,Missouri,Rural/Urban,Rural,"3,888","2,309","446,616","9,958,787",4.48%,-0.99%,-0.16%,"39,068",8.75%,-2.95%,-0.49%
2021,State,Montana,Rural/Urban,Rural,"2,451","1,684","128,400","2,561,415",5.01%,-1.61%,-0.21%,"17,554.5",13.67%,-4.43%,-0.51%
2021,State,Nebraska,Rural/Urban,Rural,"2,109","1,538","147,663","4,006,957",3.69%,-0.90%,-0.08%,"22,246",15.07%,-2.19%,-0.24%
2021,State,Nevada,Rural/Urban,Rural,471,323,"29,008","635,335",4.57%,-2.35%,-0.03%,"2,597.5",8.95%,-0.50%,-0.36%
2021,State,"New Hampshire",Rural/Urban,Rural,"3,162","1,990","100,393","2,787,227",3.60%,-1.25%,0.04%,"19,221.5",19.15%,-1.43%,0.73%
2021,State,"New Jersey",Rural/Urban,Rural,271,145,"22,888","428,068",5.35%,-0.28%,0.23%,"3,993.5",17.45%,-5.88%,-1.14%
2021,State,"New Mexico",Rural/Urban,Rural,"1,727","1,098","102,366","2,193,065",4.67%,-1.61%,-0.05%,"9,290",9.08%,-3.29%,-0.65%
2021,State,"New York",Rural/Urban,Rural,"4,807","3,063","270,882","8,295,807",3.27%,-0.80%,-0.13%,"34,107",12.59%,-3.22%,-0.52%
2021,State,"North Carolina",Rural/Urban,Rural,"6,359","4,523","598,725","13,257,391",4.52%,-1.09%,-0.11%,"55,560",9.28%,-2.18%,0.11%
2021,State,"North Dakota",Rural/Urban,Rural,"1,047",747,"47,402","1,632,311",2.90%,-0.76%,-0.06%,"6,330.5",13.35%,-4.06%,-0.06%
2021,State,Ohio,Rural/Urban,Rural,"6,859","4,609","445,627","13,351,951",3.34%,-1.35%,-0.07%,"38,344.5",8.60%,-1.83%,-0.12%
2021,State,Oklahoma,Rural/Urban,Rural,"3,637","2,451","327,771","6,957,323",4.71%,-1.96%,-0.25%,"26,543.5",8.10%,-3.32%,-0.51%
2021,State,Oregon,Rural/Urban,Rural,"3,265","2,265","192,184","3,947,601",4.87%,-2.02%,-0.20%,"19,133.5",9.96%,-5.40%,-1.09%
2021,State,Pennsylvania,Rural/Urban,Rural,"4,839","3,016","314,784","9,936,944",3.17%,-1.32%,-0.20%,"41,414",13.16%,-2.94%,-0.84%
2021,State,"Rhode Island",Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,"South Carolina",Rural/Urban,Rural,"2,375","1,617","203,114","4,733,563",4.29%,-1.12%,-0.08%,"11,484.5",5.65%,-1.47%,-0.29%
2021,State,"South Dakota",Rural/Urban,Rural,"1,344",961,"69,245","2,101,515",3.30%,-1.40%,-0.08%,"9,494.5",13.71%,-5.79%,-1.18%
2021,State,Tennessee,Rural/Urban,Rural,"4,452","3,158","524,358","10,827,486",4.84%,-2.22%,-0.29%,"32,448",6.19%,-5.71%,-0.66%
2021,State,Texas,Rural/Urban,Rural,"6,784","4,706","492,519","13,403,278",3.67%,-1.18%,-0.24%,"29,777.5",6.05%,-1.67%,-0.48%
2021,State,Utah,Rural/Urban,Rural,878,705,"69,571","1,094,588",6.36%,-1.57%,-0.29%,"8,925",12.83%,-2.60%,-1.16%
2021,State,Vermont,Rural/Urban,Rural,"1,481",919,"66,329","1,821,510",3.64%,-1.47%,-0.09%,"11,712",17.66%,-4.92%,-1.35%
2021,State,Virginia,Rural/Urban,Rural,"2,552","1,819","224,124","5,957,869",3.76%,-1.33%,-0.09%,"16,604",7.41%,-1.34%,-0.35%
2021,State,Washington,Rural/Urban,Rural,"2,435","1,648","145,446","2,750,771",5.29%,-1.94%,-0.19%,"17,475",12.01%,-4.12%,-0.71%
2021,State,"West Virginia",Rural/Urban,Rural,"1,802","1,112","128,103","3,704,523",3.46%,-1.19%,-0.20%,"9,021.5",7.04%,-1.13%,-0.91%
2021,State,Wisconsin,Rural/Urban,Rural,"4,702","3,365","249,643","7,115,321",3.51%,-1.72%,-0.12%,"29,680.5",11.89%,-5.38%,-0.99%
2021,State,Wyoming,Rural/Urban,Rural,"1,299",849,"56,517","1,136,584",4.97%,-1.22%,-0.12%,"7,407.5",13.11%,-3.58%,-1.34%
2021,State,"American Samoa",Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,Guam,Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,"Northern Mariana Islands",Rural/Urban,Rural,0,0,0,0,,,,,,,
2021,State,"Puerto Rico",Rural/Urban,Rural,158,84,"5,885","588,811",1.00%,-1.10%,-0.08%,145.5,2.47%,-1.40%,-0.34%
2021,State,"Virgin Islands",Rural/Urban,Rural,0,0,0,0,,,,0,,,
2021,State,Alabama,Rural/Urban,Urban,"13,614","7,987","1,312,494","21,425,697",6.13%,-1.43%,-0.25%,"100,455",7.65%,-3.17%,-0.51%
2021,State,Alaska,Rural/Urban,Urban,"1,892","1,188","48,032","1,092,924",4.39%,-2.06%,-0.03%,"8,082",16.83%,-2.58%,-0.79%
2021,State,Arizona,Rural/Urban,Urban,"25,138","14,859","1,134,497","24,044,244",4.72%,-1.74%,-0.17%,"150,840.5",13.30%,-3.65%,-0.68%
2021,State,Arkansas,Rural/Urban,Urban,"7,613","5,145","623,591","11,049,442",5.64%,-1.23%,-0.12%,"50,156.5",8.04%,-3.50%,-0.73%
2021,State,California,Rural/Urban,Urban,"126,986","75,957","4,983,246","130,623,708",3.81%,-1.14%,-0.13%,"542,097",10.88%,-2.30%,-0.67%
2021,State,Colorado,Rural/Urban,Urban,"19,758","13,427","815,780","15,393,448",5.30%,-1.88%,-0.19%,"115,500",14.16%,-2.74%,-0.47%
2021,State,Connecticut,Rural/Urban,Urban,"17,962","10,144","529,590","16,419,411",3.23%,-0.90%,-0.05%,"79,872.5",15.08%,-3.25%,-0.82%
2021,State,Delaware,Rural/Urban,Urban,"3,310","2,038","130,178","3,341,457",3.90%,-2.19%,0.03%,"23,332",17.92%,-1.80%,-0.82%
2021,State,"District of Columbia",Rural/Urban,Urban,"4,918","2,822","61,183","1,982,986",3.09%,-1.14%,-0.19%,"7,588",12.40%,-1.65%,-2.36%
2021,State,Florida,Rural/Urban,Urban,"83,279","45,652","4,608,580","111,492,549",4.13%,-1.08%,-0.18%,"573,694",12.45%,-2.46%,-0.78%
2021,State,Georgia,Rural/Urban,Urban,"29,816","18,759","1,866,284","35,898,959",5.20%,-0.99%,-0.10%,"193,709",10.38%,-1.46%,-0.49%
2021,State,Hawaii,Rural/Urban,Urban,"3,914","2,366","94,725","3,278,533",2.89%,-0.52%,-0.02%,"11,853",12.51%,-1.90%,-1.23%
2021,State,Idaho,Rural/Urban,Urban,"5,153","3,460","286,220","5,111,256",5.60%,-1.92%,-0.24%,"37,652.5",13.16%,-3.73%,-0.95%
2021,State,Illinois,Rural/Urban,Urban,"46,290","28,749","1,613,738","43,664,735",3.70%,-0.95%,-0.08%,"140,442",8.70%,-2.95%,-0.54%
2021,State,Indiana,Rural/Urban,Urban,"20,897","13,478","1,365,594","26,888,281",5.08%,-1.20%,-0.16%,"131,292.5",9.61%,-3.65%,-0.83%
2021,State,Iowa,Rural/Urban,Urban,"8,525","5,259","356,394","9,799,696",3.64%,-1.10%,0.01%,"36,068",10.12%,-3.85%,-0.63%
2021,State,Kansas,Rural/Urban,Urban,"7,730","5,153","422,782","8,664,628",4.88%,-1.30%,-0.21%,"44,165.5",10.45%,-4.53%,-0.72%
2021,State,Kentucky,Rural/Urban,Urban,"11,575","6,542","785,182","14,925,758",5.26%,-0.62%,-0.19%,"56,745.5",7.23%,-3.93%,-0.56%
2021,State,Louisiana,Rural/Urban,Urban,"17,304","11,377","1,116,428","22,393,026",4.99%,-1.09%,-0.17%,"82,092.5",7.35%,-2.27%,-0.69%
2021,State,Maine,Rural/Urban,Urban,"4,158","2,557","132,357","3,684,601",3.59%,-1.87%,-0.20%,"17,778",13.43%,-5.17%,-0.72%
2021,State,Maryland,Rural/Urban,Urban,"24,465","14,702","828,808","18,573,769",4.46%,-1.42%,-0.07%,"134,429.5",16.22%,-2.96%,-0.82%
2021,State,Massachusetts,Rural/Urban,Urban,"36,990","21,554","1,058,141","33,487,845",3.16%,-0.76%,-0.05%,"160,933",15.21%,-1.91%,-0.71%
2021,State,Michigan,Rural/Urban,Urban,"38,898","26,290","2,023,232","41,863,894",4.83%,-1.94%,-0.13%,"207,387.5",10.25%,-2.39%,-0.67%
2021,State,Minnesota,Rural/Urban,Urban,"19,726","12,606","601,299","16,718,210",3.60%,-1.40%,-0.09%,"78,018.5",12.97%,-2.53%,-0.65%
2021,State,Mississippi,Rural/Urban,Urban,"5,672","3,833","352,452","7,666,589",4.60%,-1.64%,-0.04%,"27,422.5",7.78%,-2.48%,-0.50%
2021,State,Missouri,Rural/Urban,Urban,"19,672","11,554","1,174,222","25,633,671",4.58%,-1.02%,-0.10%,"108,315",9.22%,-4.01%,-0.89%
2021,State,Montana,Rural/Urban,Urban,"2,141","1,440","102,156","2,004,344",5.10%,-0.93%,-0.06%,"13,113",12.84%,-4.14%,-0.37%
2021,State,Nebraska,Rural/Urban,Urban,"5,707","3,703","224,282","5,706,559",3.93%,-0.89%,-0.01%,"28,543",12.73%,-0.76%,-0.77%
2021,State,Nevada,Rural/Urban,Urban,"8,857","5,387","528,873","9,441,044",5.60%,-1.94%,-0.26%,"63,323",11.97%,-3.53%,-0.69%
2021,State,"New Hampshire",Rural/Urban,Urban,"3,503","2,093","122,346","3,297,644",3.71%,-1.66%,-0.38%,"22,289.5",18.22%,-4.53%,-1.78%
2021,State,"New Jersey",Rural/Urban,Urban,"33,596","19,180","1,059,718","36,126,432",2.93%,-1.12%,-0.13%,"154,194",14.55%,-3.21%,-1.04%
2021,State,"New Mexico",Rural/Urban,Urban,"6,250","3,772","229,552","5,225,276",4.39%,-1.85%,-0.21%,"22,899",9.98%,-3.50%,-0.26%
2021,State,"New York",Rural/Urban,Urban,"93,998","46,333","2,041,206","89,161,796",2.29%,-0.61%,-0.05%,"278,731.5",13.66%,-2.62%,-0.85%
2021,State,"North Carolina",Rural/Urban,Urban,"33,955","22,710","1,970,655","39,747,023",4.96%,-1.15%,-0.16%,"261,873",13.29%,-1.60%,-0.43%
2021,State,"North Dakota",Rural/Urban,Urban,"2,154","1,398","74,539","2,205,338",3.38%,-1.32%,0.01%,"8,602",11.54%,-7.18%,-1.08%
2021,State,Ohio,Rural/Urban,Urban,"42,920","27,498","1,853,299","49,865,465",3.72%,-1.47%,-0.12%,"175,124",9.45%,-1.97%,-0.55%
2021,State,Oklahoma,Rural/Urban,Urban,"9,429","5,764","661,409","11,115,391",5.95%,-1.85%,-0.16%,"86,140",13.02%,-3.51%,-0.74%
2021,State,Oregon,Rural/Urban,Urban,"15,097","9,926","728,259","13,466,911",5.41%,-1.58%,-0.12%,"90,734.5",12.46%,-5.05%,-0.84%
2021,State,Pennsylvania,Rural/Urban,Urban,"56,554","32,171","2,175,934","63,964,775",3.40%,-1.37%,-0.12%,"300,764.5",13.82%,-2.75%,-0.61%
2021,State,"Rhode Island",Rural/Urban,Urban,"5,370","3,232","162,880","5,693,495",2.86%,-0.69%,0.01%,"19,709",12.10%,-0.87%,0.25%
2021,State,"South Carolina",Rural/Urban,Urban,"17,075","10,932","994,241","21,127,579",4.71%,-1.39%,-0.09%,"101,496.5",10.21%,-1.39%,-0.65%
2021,State,"South Dakota",Rural/Urban,Urban,"2,369","1,544","91,938","2,198,752",4.18%,-1.32%,-0.15%,"13,526",14.71%,-1.40%,-0.32%
2021,State,Tennessee,Rural/Urban,Urban,"22,410","14,612","1,509,493","28,975,995",5.21%,-1.76%,-0.22%,"158,380.5",10.49%,-3.74%,-0.31%
2021,State,Texas,Rural/Urban,Urban,"77,743","47,279","3,659,612","84,923,025",4.31%,-1.32%,-0.27%,"322,323.5",8.81%,-1.34%,-0.35%
2021,State,Utah,Rural/Urban,Urban,"9,202","6,414","441,351","7,465,004",5.91%,-1.56%,-0.22%,"63,435.5",14.37%,-1.47%,-0.19%
2021,State,Vermont,Rural/Urban,Urban,"1,286",749,"36,421","921,101",3.95%,-2.28%,-0.08%,"7,472",20.52%,-4.13%,-2.01%
2021,State,Virginia,Rural/Urban,Urban,"26,941","17,121","981,950","25,199,776",3.90%,-1.55%,-0.18%,"123,861.5",12.61%,-0.92%,-0.68%
2021,State,Washington,Rural/Urban,Urban,"28,194","17,726","1,133,619","22,941,455",4.94%,-1.72%,-0.15%,"156,939.5",13.84%,-3.41%,-0.76%
2021,State,"West Virginia",Rural/Urban,Urban,"6,133","3,586","306,344","7,694,252",3.98%,-1.63%,-0.08%,"25,448",8.31%,-1.25%,0.51%
2021,State,Wisconsin,Rural/Urban,Urban,"19,305","12,446","825,730","20,435,117",4.04%,-1.69%,-0.17%,"104,102",12.61%,-5.37%,-1.02%
2021,State,Wyoming,Rural/Urban,Urban,780,501,"30,283","699,723",4.33%,-1.23%,-0.15%,"4,051.5",13.38%,-1.19%,-1.51%
2021,State,"American Samoa",Rural/Urban,Urban,0,0,0,0,,,,0,,,
2021,State,Guam,Rural/Urban,Urban,0,0,0,0,,,,0,,,
2021,State,"Northern Mariana Islands",Rural/Urban,Urban,0,0,0,0,,,,,,,
2021,State,"Puerto Rico",Rural/Urban,Urban,"10,907","5,527","230,796","28,260,371",0.82%,-0.70%,-0.02%,"9,338",4.05%,0.76%,-0.39%
2021,State,"Virgin Islands",Rural/Urban,Urban,0,0,0,0,,,,0,,,
2020,State,Alabama,Totals,Overall,"15,802","9,576","1,745,736","28,178,642",6.20%,-1.35%,-0.28%,"126,040",7.22%,-2.97%,-0.41%
2020,State,Alaska,Totals,Overall,"2,824","1,810","80,501","1,693,029",4.75%,-2.06%,-0.15%,"13,323",16.55%,-3.41%,0.36%
2020,State,Arizona,Totals,Overall,"26,427","16,128","1,299,090","26,247,794",4.95%,-1.91%,-0.34%,"166,918",12.85%,-3.68%,-0.70%
2020,State,Arkansas,Totals,Overall,"9,902","7,099","954,089","17,659,571",5.40%,-0.99%,-0.18%,"68,301",7.16%,-2.75%,-0.47%
2020,State,California,Totals,Overall,"130,251","78,859","5,524,000","137,442,284",4.02%,-1.23%,-0.22%,"567,386",10.27%,-2.44%,-0.44%
2020,State,Colorado,Totals,Overall,"21,448","15,084","948,125","17,473,582",5.43%,-1.91%,-0.24%,"123,977",13.08%,-3.09%,-0.17%
2020,State,Connecticut,Totals,Overall,"18,099","10,408","546,409","16,656,956",3.28%,-1.10%,-0.15%,"76,317",13.97%,-2.82%,-0.42%
